Ano,Mes,Dia,Hora,U,V,UI
2010,6,22,18,-0.17206,-2.9505,146.89
2010,6,23,0,1.3675,-3.9636,279.95
2010,6,23,6,-0.12851,-2.2368,84.424
2010,6,23,12,2.0388,-2.9337,176.55
2010,6,23,18,5.3224,-1.865,177.18
2010,6,24,0,3.1754,-1.2421,71.341
2010,6,24,6,-2.4687,-1.4934,72.582
2010,6,24,12,4.9415,-0.20812,17.34
2010,6,24,18,6.8336,-2.3677,288.46
2010,6,25,0,0.86953,-1.8768,65.393
2010,6,25,6,-1.4967,-4.5004,359.55
2010,6,25,12,1.8111,-2.5373,133.24
2010,6,25,18,2.4108,-5.8832,630.1
2010,6,26,0,0.14159,-4.3257,315.38
2010,6,26,6,-1.205,-5.7345,566.04
2010,6,26,12,-1.3396,-7.3837,933.39
2010,6,26,18,-3.2261,-12.763,2830.5
2010,6,27,0,-5.6284,-10.56,2128.7
2010,6,27,6,-11.371,-11.038,2946.7
2010,6,27,12,-4.7002,-11.988,2600.3
2010,6,27,18,-7.7353,-13.678,3620.6
2010,6,28,0,-8.1273,-6.9071,1241
2010,6,28,6,-5.199,-4.5883,535.96
2010,6,28,12,1.8423,-1.8723,82.849
2010,6,28,18,3.074,-4.2228,371.55
2010,6,29,0,-2.3634,-8.0367,1134.1
2010,6,29,6,-4.5103,-6.9437,968.51
2010,6,29,12,-0.64011,-9.4512,1508.2
2010,6,29,18,-4.6973,-15.223,4085.2
2010,6,30,0,-6.7339,-12.17,2851.5
2010,6,30,6,-4.2794,-9.289,1600.3
2010,6,30,12,1.1244,-8.119,1121
2010,6,30,18,2.6359,-5.864,635.08
2010,7,1,0,-0.029358,-6.5344,719.28
2010,7,1,6,2.0259,0.0051098,-0.17438
2010,7,1,12,3.6474,1.4211,-93.71
2010,7,1,18,5.7317,6.1389,-868.52
2010,7,2,0,6.9334,4.7375,-670.16
2010,7,2,6,7.0424,4.0214,-549.36
2010,7,2,12,-3.4433,-10.982,2129.1
2010,7,2,18,-7.9474,-15.789,4701.4
2010,7,3,0,-7.6653,-14.142,3832.1
2010,7,3,6,-10.818,-15.693,5038.5
2010,7,3,12,-8.1123,-18.928,6566.4
2010,7,3,18,-13.808,-19.202,7650.1
2010,7,4,0,-14.181,-15.014,5223.5
2010,7,4,6,-12.254,-13.736,4259.1
2010,7,4,12,-8.7095,-16.302,5075.7
2010,7,4,18,-11.61,-16.636,5685
2010,7,5,0,-17.005,-12.52,4453.6
2010,7,5,6,-17.332,-14.997,5790.4
2010,7,5,12,-17.548,-18.464,7923
2010,7,5,18,-15.425,-14.88,5372.4
2010,7,6,0,-14.963,-13.124,4400.1
2010,7,6,6,-16.169,-14.228,5162.1
2010,7,6,12,-6.6619,-11.76,2677.7
2010,7,6,18,-9.6391,-12.534,3338.3
2010,7,7,0,-10.322,-11.973,3188.4
2010,7,7,6,-4.6692,-8.8152,1481.3
2010,7,7,12,-1.812,-5.1637,476.02
2010,7,7,18,0.3453,-6.4256,696.52
2010,7,8,0,-3.9982,-8.3934,1314.5
2010,7,8,6,-3.9476,-6.2886,786.55
2010,7,8,12,1.4223,-0.46209,11.641
2010,7,8,18,2.451,-5.3855,536.8
2010,7,9,0,-1.2629,-7.2708,903.86
2010,7,9,6,-3.0019,-8.661,1337.4
2010,7,9,12,0.046828,-5.836,573.76
2010,7,9,18,-1.2554,-6.7049,770.45
2010,7,10,0,0.61272,-4.3164,317
2010,7,10,6,-0.77132,-2.6507,123.27
2010,7,10,12,0.8394,-2.1314,82.244
2010,7,10,18,-0.79926,-0.9971,21.464
2010,7,11,0,2.4583,1.9418,-102.47
2010,7,11,6,-1.473,-1.6895,63.791
2010,7,11,12,1.9688,-3.1206,193.96
2010,7,11,18,4.2988,0.87457,-64.629
2010,7,12,0,7.7335,2.2439,-304.37
2010,7,12,6,5.2695,3.8298,-420.26
2010,7,12,12,8.6711,5.5018,-951.77
2010,7,12,18,7.5099,4.4803,-660
2010,7,13,0,3.4493,0.19182,-11.163
2010,7,13,6,4.3623,0.48345,-35.744
2010,7,13,12,8.1181,3.7787,-569.98
2010,7,13,18,6.9944,3.6033,-477.58
2010,7,14,0,7.1768,0.6678,-81.083
2010,7,14,6,10.335,2.4518,-438.7
2010,7,14,12,9.5166,1.4972,-242.97
2010,7,14,18,6.627,0.82204,-92.472
2010,7,15,0,2.91,0.16134,-7.9208
2010,7,15,6,5.5303,2.5417,-260.6
2010,7,15,12,9.8057,6.5499,-1301.1
2010,7,15,18,8.2659,5.0081,-815.35
2010,7,16,0,10.111,4.5954,-859.71
2010,7,16,6,-4.0148,-6.8242,910.19
2010,7,16,12,3.0353,-3.0991,226.47
2010,7,16,18,1.1576,-4.5216,355.5
2010,7,17,0,-4.1776,-5.2359,590.79
2010,7,17,6,-8.2907,-8.3408,1652.4
2010,7,17,12,-7.9322,-15.319,4451.9
2010,7,17,18,-13.78,-17.546,6594.4
2010,7,18,0,-12.434,-12.766,3832.3
2010,7,18,6,-7.8275,-8.2391,1577.3
2010,7,18,12,-2.0629,-5.0308,460.79
2010,7,18,18,1.1407,-4.5818,364.43
2010,7,19,0,-2.6114,-7.3934,976.57
2010,7,19,6,-2.7485,-7.4486,996.21
2010,7,19,12,-1.5785,-13.529,3104
2010,7,19,18,-4.8631,-15.92,4464
2010,7,20,0,0.20324,-5.5842,525.64
2010,7,20,6,1.0405,-0.6457,13.32
2010,7,20,12,4.8701,0.29331,-24.107
2010,7,20,18,3.961,-0.39536,26.512
2010,7,21,0,0.53668,-3.3916,196.18
2010,7,21,6,-2.4039,-5.4953,555.25
2010,7,21,12,0.94694,-5.7464,563.76
2010,7,21,18,-2.1979,-7.1589,903.1
2010,7,22,0,-3.2527,-4.4539,413.79
2010,7,22,6,-4.4626,-3.976,400.32
2010,7,22,12,-4.7172,-10.788,2139.6
2010,7,22,18,-9.6267,-11.781,3019.5
2010,7,23,0,-10.313,-6.9683,1461
2010,7,23,6,-11.252,-8.9499,2167.5
2010,7,23,12,-8.5753,-14.219,3977.1
2010,7,23,18,-13.629,-15.809,5558.5
2010,7,24,0,-13.803,-12.149,3763.3
